Weight,Length1,Length2,Length3,Height,Width,Species
242,23.2,25.4,30,11.52,4.02,Bream
290,24,26.3,31.2,12.48,4.3056,Bream
340,23.9,26.5,31.1,12.3778,4.6961,Bream
363,26.3,29,33.5,12.73,4.4555,Bream
430,26.5,29,34,12.444,5.134,Bream
450,26.8,29.7,34.7,13.6024,4.9274,Bream
500,26.8,29.7,34.5,14.1795,5.2785,Bream
390,27.6,30,35,12.67,4.69,Bream
450,27.6,30,35.1,14.0049,4.8438,Bream
500,28.5,30.7,36.2,14.2266,4.9594,Bream
475,28.4,31,36.2,14.2628,5.1042,Bream
500,28.7,31,36.2,14.3714,4.8146,Bream
500,29.1,31.5,36.4,13.7592,4.368,Bream
340,29.5,32,37.3,13.9129,5.0728,Bream
600,29.4,32,37.2,14.9544,5.1708,Bream
600,29.4,32,37.2,15.438,5.58,Bream
700,30.4,33,38.3,14.8604,5.2854,Bream
700,30.4,33,38.5,14.938,5.1975,Bream
610,30.9,33.5,38.6,15.633,5.1338,Bream
650,31,33.5,38.7,14.4738,5.7276,Bream
575,31.3,34,39.5,15.1285,5.5695,Bream
685,31.4,34,39.2,15.9936,5.3704,Bream
620,31.5,34.5,39.7,15.5227,5.2801,Bream
680,31.8,35,40.6,15.4686,6.1306,Bream
700,31.9,35,40.5,16.2405,5.589,Bream
725,31.8,35,40.9,16.36,6.0532,Bream
720,32,35,40.6,16.3618,6.09,Bream
714,32.7,36,41.5,16.517,5.8515,Bream
850,32.8,36,41.6,16.8896,6.1984,Bream
1000,33.5,37,42.6,18.957,6.603,Bream
920,35,38.5,44.1,18.0369,6.3063,Bream
955,35,38.5,44,18.084,6.292,Bream
925,36.2,39.5,45.3,18.7542,6.7497,Bream
975,37.4,41,45.9,18.6354,6.7473,Bream
950,38,41,46.5,17.6235,6.3705,Bream
40,12.9,14.1,16.2,4.1472,2.268,Roach
69,16.5,18.2,20.3,5.2983,2.8217,Roach
78,17.5,18.8,21.2,5.5756,2.9044,Roach
87,18.2,19.8,22.2,5.6166,3.1746,Roach
120,18.6,20,22.2,6.216,3.5742,Roach
0,19,20.5,22.8,6.4752,3.3516,Roach
110,19.1,20.8,23.1,6.1677,3.3957,Roach
120,19.4,21,23.7,6.1146,3.2943,Roach
150,20.4,22,24.7,5.8045,3.7544,Roach
145,20.5,22,24.3,6.6339,3.5478,Roach
160,20.5,22.5,25.3,7.0334,3.8203,Roach
140,21,22.5,25,6.55,3.325,Roach
160,21.1,22.5,25,6.4,3.8,Roach
169,22,24,27.2,7.5344,3.8352,Roach
161,22,23.4,26.7,6.9153,3.6312,Roach
200,22.1,23.5,26.8,7.3968,4.1272,Roach
180,23.6,25.2,27.9,7.0866,3.906,Roach
290,24,26,29.2,8.8768,4.4968,Roach
272,25,27,30.6,8.568,4.7736,Roach
390,29.5,31.7,35,9.485,5.355,Roach
270,23.6,26,28.7,8.3804,4.2476,Whitefish
270,24.1,26.5,29.3,8.1454,4.2485,Whitefish
306,25.6,28,30.8,8.778,4.6816,Whitefish
540,28.5,31,34,10.744,6.562,Whitefish
800,33.7,36.4,39.6,11.7612,6.5736,Whitefish
1000,37.3,40,43.5,12.354,6.525,Whitefish
55,13.5,14.7,16.5,6.8475,2.3265,Parkki
60,14.3,15.5,17.4,6.5772,2.3142,Parkki
90,16.3,17.7,19.8,7.4052,2.673,Parkki
120,17.5,19,21.3,8.3922,2.9181,Parkki
150,18.4,20,22.4,8.8928,3.2928,Parkki
140,19,20.7,23.2,8.5376,3.2944,Parkki
170,19,20.7,23.2,9.396,3.4104,Parkki
145,19.8,21.5,24.1,9.7364,3.1571,Parkki
200,21.2,23,25.8,10.3458,3.6636,Parkki
